iter	Passed	Remaining
0	144	144016
1	144	72291
2	145	48354
3	146	36374
4	146	29194
5	147	24404
6	147	20979
7	148	18412
8	149	16413
9	149	14812
10	150	13505
11	150	12418
12	151	11495
13	152	10707
14	152	10031
15	153	9436
16	154	8915
17	154	8448
18	155	8031
19	156	7658
20	157	7322
21	157	7012
22	158	6729
23	158	6465
24	159	6224
25	160	6010
26	161	5804
27	161	5613
28	162	5433
29	162	5265
30	163	5108
31	164	4962
32	164	4824
33	165	4695
34	166	4576
35	166	4460
36	167	4353
37	167	4251
38	168	4154
39	169	4062
40	169	3974
41	170	3892
42	171	3812
43	171	3736
44	172	3664
45	173	3594
46	173	3525
47	174	3462
48	175	3402
49	175	3341
50	176	3287
51	177	3233
52	177	3179
53	178	3126
54	179	3078
55	180	3034
56	180	2990
57	181	2953
58	182	2915
59	183	2876
60	184	2837
61	184	2797
62	185	2761
63	186	2725
64	186	2689
65	187	2654
66	188	2621
67	188	2584
68	189	2553
69	189	2522
70	190	2491
71	190	2461
72	191	2432
73	192	2404
74	193	2381
75	193	2355
76	194	2330
77	195	2305
78	195	2280
79	196	2257
80	196	2233
81	197	2210
82	198	2188
83	198	2165
84	199	2142
85	199	2123
86	200	2101
87	200	2083
88	201	2063
89	202	2044
90	202	2025
91	203	2006
92	203	1988
93	204	1969
94	204	1952
95	205	1936
96	206	1920
97	206	1904
98	207	1888
99	208	1872
100	208	1857
101	209	1840
102	209	1825
103	210	1810
104	210	1796
105	211	1781
106	211	1767
107	212	1754
108	213	1743
109	213	1730
110	214	1718
111	215	1706
112	215	1694
113	216	1682
114	217	1671
115	217	1658
116	218	1646
117	218	1635
118	219	1624
119	220	1613
120	220	1603
121	221	1592
122	221	1580
123	222	1570
124	222	1560
125	223	1550
126	224	1540
127	224	1529
128	225	1520
129	225	1511
130	226	1502
131	227	1493
132	227	1485
133	228	1476
134	229	1468
135	229	1459
136	230	1450
137	230	1441
138	231	1432
139	231	1424
140	232	1416
141	233	1409
142	233	1401
143	234	1393
144	235	1386
145	235	1379
146	236	1371
147	237	1364
148	237	1357
149	238	1349
150	238	1342
151	239	1336
152	240	1331
153	241	1325
154	242	1319
155	242	1313
156	243	1307
157	244	1301
158	244	1295
159	245	1289
160	246	1283
161	247	1277
162	247	1272
163	248	1266
164	249	1261
165	249	1255
166	250	1249
167	251	1243
168	251	1237
169	252	1231
170	253	1226
171	253	1221
172	254	1215
173	254	1210
174	255	1205
175	256	1199
176	256	1194
177	257	1189
178	258	1183
179	258	1178
180	259	1172
181	259	1167
182	260	1163
183	261	1158
184	261	1153
185	262	1148
186	263	1143
187	263	1138
188	264	1134
189	264	1129
190	265	1124
191	266	1120
192	267	1116
193	267	1112
194	268	1107
195	268	1103
196	269	1099
197	270	1094
198	270	1089
199	271	1085
200	271	1080
201	272	1076
202	273	1072
203	273	1068
204	274	1064
205	275	1060
206	275	1056
207	276	1052
208	276	1048
209	277	1044
210	278	1040
211	278	1035
212	279	1032
213	280	1028
214	280	1024
215	281	1020
216	281	1017
217	282	1013
218	283	1009
219	283	1005
220	284	1001
221	284	997
222	285	994
223	286	990
224	286	987
225	287	983
226	287	980
227	288	976
228	289	973
229	289	969
230	290	966
231	290	962
232	291	959
233	291	955
234	292	952
235	293	949
236	293	946
237	294	942
238	295	939
239	295	936
240	296	933
241	296	929
242	297	926
243	298	923
244	298	920
245	299	917
246	300	914
247	300	911
248	301	909
249	302	906
250	302	903
251	303	900
252	304	897
253	304	894
254	305	891
255	305	888
256	306	886
257	307	884
258	308	881
259	308	878
260	309	875
261	309	873
262	310	870
263	311	867
264	311	864
265	312	862
266	313	859
267	313	856
268	314	854
269	315	851
270	315	848
271	316	846
272	316	843
273	317	841
274	318	838
275	318	835
276	319	833
277	320	831
278	320	828
279	321	826
280	322	824
281	322	821
282	323	819
283	323	816
284	324	814
285	325	811
286	325	809
287	326	806
288	326	804
289	327	802
290	328	799
291	328	797
292	329	795
293	330	792
294	330	790
295	331	787
296	331	785
297	332	783
298	333	781
299	333	779
300	334	776
301	335	774
302	335	772
303	336	770
304	336	767
305	337	765
306	338	763
307	338	760
308	339	758
309	340	756
310	340	754
311	341	752
312	342	750
313	342	748
314	343	746
315	343	744
316	344	741
317	344	739
318	345	737
319	346	735
320	346	733
321	347	731
322	348	729
323	348	727
324	349	725
325	349	723
326	350	721
327	351	719
328	351	717
329	352	715
330	352	713
331	353	711
332	354	709
333	354	707
334	355	705
335	356	703
336	356	701
337	357	699
338	357	697
339	358	695
340	358	693
341	359	692
342	360	690
343	361	688
344	361	686
345	362	684
346	363	683
347	363	681
348	364	679
349	365	677
350	365	676
351	366	674
352	367	673
353	367	671
354	368	669
355	369	667
356	369	666
357	370	664
358	371	662
359	371	661
360	372	659
361	373	657
362	373	655
363	374	654
364	374	652
365	375	650
366	376	648
367	376	647
368	377	645
369	378	643
370	378	642
371	379	640
372	380	639
373	380	637
374	381	636
375	382	634
376	382	632
377	383	631
378	384	629
379	384	627
380	385	625
381	385	624
382	386	622
383	387	621
384	387	619
385	388	618
386	389	616
387	389	614
388	390	613
389	391	611
390	391	609
391	392	608
392	392	606
393	393	605
394	393	603
395	394	601
396	395	600
397	395	598
398	396	597
399	397	595
400	397	594
401	398	592
402	398	590
403	399	589
404	400	588
405	400	586
406	401	585
407	402	583
408	402	582
409	403	580
410	404	579
411	404	577
412	405	575
413	405	574
414	406	573
415	407	571
416	407	570
417	408	568
418	409	567
419	409	565
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
